date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus
22apr2012,1,0,1,0,0,0,0,0,0,0,4,0,0,0,113,12769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23apr2012,2,1.0986123,0.5,0,0,0,0,0,0,0,4,0,0,0,114,12996,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24apr2012,6,2.1972246,0.16666667,.1666666666666667,.1666666666666667,0,.3726779962499649,.3726779962499649,0,0,4,0,0,0,115,13225,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25apr2012,239,5.5174527,0.010696591,.1286610878661088,0.062133891,0.00209205,.2989253524044311,.3194517512922526,0.032274579,0,4,0,0,0,116,13456,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26apr2012,97,4.59512,0.014985651,.4360824742268041,.3927835051546392,0.015463918,0.484435173,.5201600512372876,.1124609496354199,0,4,0,0,0,117,13689,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27apr2012,8,2.5649493,0.125,0.125,0.125,0,.3307189138830738,.3307189138830738,0,0,4,0,1,0,118,13924,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28apr2012,6,1.7917595,0.16666667,.1166666666666667,.1166666666666667,0,.2608745973749755,.2608745973749755,0,0,4,0,0,0,119,14161,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29apr2012,4,1.3862944,0.25,0,0,0,0,0,0,0,4,0,0,0,120,14400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30apr2012,2,0.69314718,0.5,0,0,0,0,0,0,0,4,0,0,0,121,14641,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01may2012,12,2.4849067,0.083333336,.9166666666666666,.9166666666666666,0,.2763853991962832,.2763853991962832,0,0,5,0,0,0,122,14884,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
02may2012,4,1.6094379,0.25,0.175,0.175,0,.3031088913245535,.3031088913245535,0,0,5,0,0,0,123,15129,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03may2012,112,4.7874918,0.028061224,.2508928571428571,-0.01875,0.026785714,.4044386620707164,.4755694425032556,.1614566189287958,1,5,0,0,0,124,15376,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04may2012,23,3.2188759,0.043478262,0.030434783,-0.030434783,0.086956522,.1427517839946261,.1427517839946261,.2817713347133853,0,5,0,0,0,125,15625,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05may2012,15,2.7725887,0.11111112,0,0,0,0,0,0,0,5,0,0,0,126,15876,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06may2012,1,0.69314718,1,0,0,0,0,0,0,0,5,0,0,0,127,16129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07may2012,3,1.0986123,0.33333334,.2333333333333333,-0.233333333,0,.3299831645537222,.3299831645537222,0,0,5,0,0,0,128,16384,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08may2012,2,0.69314718,0.5,0.5,0.5,0,0.5,0.5,0,0,5,0,1,0,129,16641,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
