date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus,F1_pressConf,F2_pressConf,F3_pressConf,F4_pressConf,F5_pressConf,L1_pressConf,L2_pressConf,L3_pressConf,date_2
14mar2012,6,1.7917595,.16666667,.45,.1166666666666667,0,.4609772228646444,.6335525936249404,0,0,3,0,0,0,74,5476,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
15mar2012,6,1.9459101,.16666667,.2833333333333333,-.05,.1666666666666667,.4099457958749614,.4958158260214505,.3726779962499649,0,3,1,0,0,75,5625,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
16mar2012,3,1.0986123,.33333334,.2333333333333333,.2333333333333333,0,.3299831645537222,.3299831645537222,0,0,3,0,0,0,76,5776,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
17mar2012,4,2.3025851,.375,.25,-.25,0,.4330127018922193,.4330127018922193,0,0,3,0,0,0,77,5929,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
18mar2012,17,3.0445225,.21107267,.0588235294117647,.0588235294117647,0,.2352941176470588,.2352941176470588,0,0,3,0,0,0,78,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
19mar2012,4,1.6094379,.25,0,0,0,0,0,0,0,3,0,0,0,79,6241,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
20mar2012,5,1.6094379,.2,0,0,0,0,0,0,0,3,0,0,0,80,6400,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
21mar2012,1,0,1,0,0,0,0,0,0,0,3,0,0,0,81,6561,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
22mar2012,203,5.3936276,.011381009,.3315270935960591,.1916256157635468,.0049261083743842,.4607673328049873,.5343186054702891,.0700131546973004,0,3,0,0,0,82,6724,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
23mar2012,139,4.9836068,.0099891312,.2741007194244605,.0136690647482014,.0143884892086331,.3976709404846636,.4827903664779084,.1028802132811158,0,3,0,0,0,83,6889,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
